Zipcode,EstimatedPopulation,TotalWages,Result
2817,10872.0,319039076.0,29345.021707137603
2818,50169.0,2091630507.0,41691.6922202954
2822,10366.0,291253170.0,28096.967972216862
2825,9438.0,252038346.0,26704.635092180546
2826,1568.0,41481892.0,26455.288265306124
2827,4054.0,106785064.0,26340.66699555994
2828,13138.0,362157934.0,27565.682295630995
2830,10840.0,293978372.0,27119.776014760148
2831,7064.0,196112176.0,27762.1993204983
2832,12282.0,315607920.0,25696.785539814362
2833,559.0,12018480.0,21499.964221824688
2835,5079.0,165880966.0,32660.162630439063
2837,9141.0,225908445.0,24713.7561535937
2838,5472.0,121802506.0,22259.229897660818
2839,3202.0,82792350.0,25856.449094316053
2840,34044.0,823689420.0,24194.848431441664
2842,13797.0,339426576.0,24601.47684279191
2852,80472.0,2429253404.0,30187.560940451338
2857,30916.0,839370668.0,27150.041014361497
2859,10614.0,257504674.0,24260.851140003768
2860,32700.0,565533563.0,17294.604373088685
2861,44074.0,915865670.0,20780.180378454417
2862,638.0,10315583.0,16168.62539184953
2863,12807.0,155524266.0,12143.692199578356
2864,29895.0,910219909.0,30447.22893460445
2865,15355.0,459937502.0,29953.598306740474
2871,15498.0,460517618.0,29714.648212672604
2874,15771.0,578866425.0,36704.484496861325
2876,1211.0,29798698.0,24606.687035507846
2878,13961.0,350358406.0,25095.509347467945
2879,155232.0,4300143786.0,27701.40039424861
2880,659.0,16228788.0,24626.385432473446
2881,4080.0,110083340.0,26981.210784313724
2882,40944.0,1039463536.0,25387.444704962876
2885,8830.0,204184200.0,23123.91845979615
2886,25122.0,652346283.0,25967.131717219967
2888,17491.0,421039488.0,24071.779086387283
2889,49228.0,1202388570.0,24424.891728284718
2891,56649.0,1333139733.0,23533.332150611663
2892,13608.0,395188803.0,29040.917328042327
2893,48154.0,1093179880.0,22701.74606470906
2894,1412.0,31032824.0,21977.920679886687
2895,30278.0,577258006.0,19065.262104498317
2896,16954.0,476055390.0,28079.237348118437
2898,3800.0,95823652.0,25216.75052631579
